category,Effective reproduction number,Critical threshold
Thu Mar 19 2020,3.01,1
Fri Mar 20 2020,2.75,1
Sat Mar 21 2020,2.58,1
Sun Mar 22 2020,2.39,1
Mon Mar 23 2020,2.27,1
Tue Mar 24 2020,1.99,1
Wed Mar 25 2020,1.89,1
Thu Mar 26 2020,1.88,1
Fri Mar 27 2020,1.81,1
Sat Mar 28 2020,1.76,1
Sun Mar 29 2020,1.69,1
Mon Mar 30 2020,1.55,1
Tue Mar 31 2020,1.53,1
Wed Apr 01 2020,1.55,1
Thu Apr 02 2020,1.52,1
Fri Apr 03 2020,1.54,1
Sat Apr 04 2020,1.48,1
Sun Apr 05 2020,1.46,1
Mon Apr 06 2020,1.39,1
Tue Apr 07 2020,1.36,1
Wed Apr 08 2020,1.35,1
Thu Apr 09 2020,1.32,1
Fri Apr 10 2020,1.25,1
Sat Apr 11 2020,1.21,1
Sun Apr 12 2020,1.16,1
Mon Apr 13 2020,1.16,1
Tue Apr 14 2020,1.17,1
Wed Apr 15 2020,1.12,1
Thu Apr 16 2020,1.11,1
Fri Apr 17 2020,1.14,1
Sat Apr 18 2020,1.14,1
Sun Apr 19 2020,1.14,1
Mon Apr 20 2020,1.18,1
Tue Apr 21 2020,1.16,1
Wed Apr 22 2020,1.11,1
Thu Apr 23 2020,1.1,1
Fri Apr 24 2020,1.08,1
Sat Apr 25 2020,1.04,1
Sun Apr 26 2020,0.99,1
Mon Apr 27 2020,0.93,1
Tue Apr 28 2020,0.9,1
Wed Apr 29 2020,0.89,1
Thu Apr 30 2020,0.85,1
Fri May 01 2020,0.81,1
Sat May 02 2020,0.84,1
Sun May 03 2020,0.87,1
Mon May 04 2020,0.88,1
Tue May 05 2020,0.86,1
Wed May 06 2020,0.89,1
Thu May 07 2020,0.91,1
Fri May 08 2020,0.94,1
Sat May 09 2020,0.92,1
Sun May 10 2020,0.89,1
Mon May 11 2020,0.91,1
Tue May 12 2020,0.92,1
Wed May 13 2020,0.9,1
Thu May 14 2020,0.89,1
Fri May 15 2020,0.89,1
Sat May 16 2020,0.9,1
Sun May 17 2020,0.95,1
Mon May 18 2020,0.95,1
