category,Total tests completed
Wed Apr 15 2020,6010
Thu Apr 16 2020,9001
Fri Apr 17 2020,8899
Sat Apr 18 2020,9462
Sun Apr 19 2020,9643
Mon Apr 20 2020,8743
Tue Apr 21 2020,9330
Wed Apr 22 2020,10361
Thu Apr 23 2020,10214
Fri Apr 24 2020,12295
Sat Apr 25 2020,10578
Sun Apr 26 2020,12020
Mon Apr 27 2020,12550
Tue Apr 28 2020,10852
Wed Apr 29 2020,11554
Thu Apr 30 2020,12928
Fri May 01 2020,16532
Sat May 02 2020,16305
Sun May 03 2020,17146
Mon May 04 2020,14555
Tue May 05 2020,10654
Wed May 06 2020,12961
Thu May 07 2020,15179
Fri May 08 2020,16295
Sat May 09 2020,19227
Sun May 10 2020,17618
Mon May 11 2020,13970
Tue May 12 2020,11957
Wed May 13 2020,15137
Thu May 14 2020,17429
Fri May 15 2020,18354
Sat May 16 2020,17768
Sun May 17 2020,16217
Mon May 18 2020,9155
Tue May 19 2020,5813
Wed May 20 2020,7382
Thu May 21 2020,10506
Fri May 22 2020,11276
Sat May 23 2020,11028
Sun May 24 2020,11383
Mon May 25 2020,8170
Tue May 26 2020,9875
Wed May 27 2020,15133
Thu May 28 2020,17615
Fri May 29 2020,18525
Sat May 30 2020,20640
Sun May 31 2020,17014
Mon Jun 01 2020,14379
Tue Jun 02 2020,15244
Wed Jun 03 2020,17537
Thu Jun 04 2020,20822
Fri Jun 05 2020,22730
Sat Jun 06 2020,23105
Sun Jun 07 2020,19374
Mon Jun 08 2020,15357
Tue Jun 09 2020,13509
Wed Jun 10 2020,19941
Thu Jun 11 2020,24341
Fri Jun 12 2020,28335
Sat Jun 13 2020,27456
Sun Jun 14 2020,23278
Mon Jun 15 2020,21751
Tue Jun 16 2020,21724
Wed Jun 17 2020,24205
Thu Jun 18 2020,25278
Fri Jun 19 2020,27225
Sat Jun 20 2020,27387
Sun Jun 21 2020,23408
Mon Jun 22 2020,21900
Tue Jun 23 2020,16189
Wed Jun 24 2020,23207
Thu Jun 25 2020,27511
Fri Jun 26 2020,30780
Sat Jun 27 2020,33492
Sun Jun 28 2020,28633
Mon Jun 29 2020,27127
Tue Jun 30 2020,23759
Wed Jul 01 2020,26056
Thu Jul 02 2020,24322
Fri Jul 03 2020,24194
Sat Jul 04 2020,21425
Sun Jul 05 2020,23792
Mon Jul 06 2020,17303
Tue Jul 07 2020,15112
Wed Jul 08 2020,22832
Thu Jul 09 2020,26326
Fri Jul 10 2020,27484
Sat Jul 11 2020,29522
Sun Jul 12 2020,25726
Mon Jul 13 2020,20896
Tue Jul 14 2020,16744
Wed Jul 15 2020,23769
Thu Jul 16 2020,26492
Fri Jul 17 2020,31163
Sat Jul 18 2020,28849
Sun Jul 19 2020,26890
Mon Jul 20 2020,20913
Tue Jul 21 2020,22974
Wed Jul 22 2020,23990
Thu Jul 23 2020,26001
Fri Jul 24 2020,28809
Sat Jul 25 2020,29904
